aca	a k a
aceleracion	a T e l e r a T i o n
ademas	a d e m a s
ahi	a i
algun	a l g u n
alla	a y a
alli	a y i
alo	a l o
anotacion	a n o t a T i o n
anotation	a n o t e i C o n
antologia	a n t o l o x i a
aparecian	a p a r e T i a n
aqui	a k i
arbol	a r b o l
arboles	a r b o l e s
art	a r t
asi	a s i
atencion	a t e n T i o n
atras	a t r a s
aumentabamos	a u m e n t a b a m o s
automatica	a u t o m a t i k a
automaticamente	a u t o m a t i k a m e n t e
automatico	a u t o m a t i k o
bagging	b a g i n
basandose	b a s a n d o s e
based	b e i s d
basical	b e i s i k a l
basicamente	b a s i k a m e n t e
beyond	b i y o n d
book	b u k
botabamos	b o t a b a m o s
building	b i l d i n g
buscabamos	b u s k a b a m o s
buscare		b u s k a r e
busqueda	b u s k e d a
cafe	k a f e
calculo	k a l k u l o
calculos	k a l k u l o s
camara	k a m a r a
car	k a r
caracteristica	k a r a k t e r i s t i k a
catherine	c a T e r i n
cerrabamos	T e R a b a m o s
cientifica	T i e n t i f i k a
clasica	k l a s i k a
clasico	k l a s i k o
clasificacion	k l a s i f i k a T i o n
clasificador	k l a s i f i k a d o r
clasificadores	k l a s i f i k a d o r e s
classic	k l a s i k
classifier	k l a s i f a i e r
cocacola	k o k a k o l a
colores	k o l o r e s
com	k o m
comerciales	k o m e r T i a l e s
compañias	k o m p a N i a
comparacion	k o m p a r a T i o n
competicion	k o m p e t i T i o n
complicado	k o m p l i k a d o
comprimiendose	k o m p r i m i e n d o s e
con	k o n
conclusion	k o n k l u s i o n
conto	k o n t o
convenci	k o m b e n T i
correspondian	k o R e s p o n d i a n
cuales	k u a l e s
cuatrocientos	k u a t r o T i e n t o s
day	d e i
de	d e
deberia	d e b e r i a
deberiamos	d e b e r i a m o s
deberian	d e b e r i a n
decia	d e T i a
deciamos	d e T i a m o s
deformacion	d e f o r m a T i o n
dejame	d e x a m e
deje	d e x e
delante	d e l a n t e
demas	d e m a s
demostracion	d e m o s t r a T i o n
desafio	d e s a f i o
descripcion	d e s c r i p T i o n
descripto	d e s c r i p t o
despues	d e s p u e s
deteccion	d e t e k T i o n
detecto	d t e k t o
dia	d i a
dias	d i a s
dieciseis	d i e T i s e i s
dificil	d i f i T i l
dificiles	d i f i T i l e s
diganme	d i g a n m e
dimension	d i m e n s i o n
discusion	d i s k u s i o n
documentacion	d o k u m e n t a T i o n
dos	d o s
ejercito	e x e r T i t o
el	e l
en	e n
epfl	e p e e f e e l e
eramos	e r a m o s
es	e s
especifica	e s p e T i f i k a
esta	e s t a
estan	e s t a n
etcetera	e t T e t e r a
explique	e k s p l i k e
facil	f a T i l
fast	f a s t
features	f i C u r s
fijado	f i x a d o
fijense	f i x e n s e
fin	f i n
flores	f l o r e s
flower	f l a u e r
fotografia	f o t o g r a f i a
full	f u l
funcionaban	f u n T i o n a b a n
funcionando	f u n T i o n a n d o
funciono	f u n T i o n o
galery	g a l e r i
general	x e n e r a l
generalizacion	x e n e r a l i T a T i o n 
goverment	g o b e r m e n t
gphone	y i f o n
gps	x e p e e s e
grafico	g r a f i c o
gran	g r a n
grass	g r a s
habia	a b i a
habiamos	a b i a m o s
habian	a b i a n
habra	a b r a
habran	a b r a n
habria	a b r i a
haciamos	a T i a m o s
hecho	e C o
heuristica	e u r i s t i k a
hipotesis	i p o t e s i s
hp	a C e p e
hubiesen	u b i e s e n
hungaros	u n g a r o s
ibamos	i b a m o s
iluminacion	i l u m i n a T i o n
imagenes	i m a x e n e s
imaginense	i m a x i n e se 
impresion	i m p r e s i o n
indexacion	i n d e k s a T i o n
indexaciones	i n d e k s a T i o n
indexing	i n d e k s i n g
informacion	i n f o r m a T i o n
ingles	i n g l e s
instalacion	i n s t a l a T i o n
interesaba	i n t e r e s a b a
investigacion	i n b e s t i g a T i o n
jerarquica	x e r a r k i k a
la	l a
le	l e
leader	l i d e r
lingüistica	l i n g u i s t i k a
lingüisticas	l i n g u i s t i k a
llaman	y a m a n
llegado	y e g a n d o
lo	l o
logica	l o x i k a
logico	l o x i k o 
machine	m a C i n
magica	m a x i c a
mala	m a l a
mama	m a m a
marcos	m a r k o s
marriage	m a R i C
mas	m a s
match	m a C
mayoria	m a y o r i a
me	m i
mejor	m e x o r
mejoraba	m e x o r a b a
mejorarlo	m e x o r a r l o
mejoro	m e x o r o
metiamos	m e t i a m o s
metodo	m e t o d o
metodos	m e t o d o s
metrica	m e t r i k a
mi	m i 
miles	m i l e s
mobile	m o b a i l
